Crops,,1989–90,1990–91,1991–92,1992–93,1993–94,1994–95,1995–96,1996–97,1997–98,1998–99,1999–00,2000–01,2001–02,2002–03,2003–04,2004–05,2005–06,2006–07,2007–08,2008–09,2009–10,2010–11,2011–12,2012–13,2013–14,2014–15,2015–16,2016–17,2017–18,2018–19,2019–20,2020–21,2021–22,2022–23 s,2023–24 s,2024–25 f
Winter crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,'000 ha,9 003.8,9 218.2,7 183.0,8 274.7,8 383.1,7 890.6,9 220.8,10 935.5,10 440.6,11 542.6,12 167.6,12 141.3,11 529.3,11 170.3,13 067.1,13 399.4,12 442.6,11 797.9,12 578.2,13 530.2,13 881.1,13 501.8,13 902.1,12 979.2,12 613.1,12 383.7,11 282.2,12 191.2,10 919.2,10 402.3,9 863.2,12 643.2,12 728.3,13 045.0,12 372.4,13 060.3
Production,kt,14 214.6,15 066.1,10 557.3,14 738.7,16 479.2,8 961.4,16 503.9,22 924.2,19 226.7,21 464.8,24 757.4,22 108.2,24 299.4,10 131.8,26 131.8,21 905.1,25 150.4,10 821.7,13 569.4,21 420.1,21 834.0,27 410.0,29 905.0,22 855.2,25 302.7,23 742.6,22 274.5,31 818.7,20 941.1,17 597.6,14 480.2,31 922.6,36 237.5,40 545.4,25 960.0,34 110.0
Barley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,'000 ha,2 309.9,2 555.7,2 744.2,2 947.2,3 424.5,2 470.5,3 110.6,3 365.8,3 520.9,3 167.3,2 595.6,3 454.0,3 707.4,3 863.8,4 477.0,4 645.7,4 405.7,4 178.8,4 901.8,5 015.0,4 421.6,3 681.0,3 718.1,3 644.3,3 814.0,4 078.0,4 107.6,4 834.1,4 124.1,4 436.6,5 040.9,5 491.0,5 094.5,4 127.0,4 207.0,4 621.2
Production,kt,4 044.1,4 107.8,4 529.7,5 396.8,6 668.2,2 913.2,5 822.7,6 694.8,6 481.7,5 987.2,5 032.0,6 743.5,8 279.8,3 864.8,10 381.8,7 739.8,9 481.7,4 257.0,7 160.2,7 996.5,7 864.6,7 994.7,8 220.9,7 471.4,9 174.2,8 646.3,8 992.3,13 506.0,9 253.8,8 818.9,10 127.2,14 648.6,14 377.3,14 136.8,10 800.0,13 265.0
Canola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,'000 ha,49.7,72.9,150.7,107.1,176.5,356.2,376.6,407.5,697.5,1 247.2,1 909.5,1 458.6,1 331.5,1 297.1,1 210.6,1 377.1,971.7,1 051.8,1 277.1,1 692.6,1 694.9,2 077.5,2 460.8,3 271.5,2 720.7,2 897.0,2 090.9,2 681.2,3 171.1,2 119.8,2 034.1,2 613.8,3 250.3,3 900.0,3 477.0,3 367.7
Production,kt,78.2,98.4,170.4,177.9,305,263.9,557.1,623.2,855.4,1 690.5,2 458.7,1 774.1,1 755.9,870.1,1 702.3,1 542.3,1 418.9,573.3,1 214.4,1 844.2,1 907.3,2 358.7,3 427.3,4 141.6,3 831.9,3 540.0,2 775.5,4 313.2,3 893.1,2 365.8,2 298.5,4 756.4,6 820.3,8 440.0,6 050.0,5 939.5
